order_date,customer_id,city,product_id,product_name,units_in_stock,unit_price,quantity,discount,category_id,category_name
1996-07-04,VINET,Reims,11,Queso Cabrales,22,14.0,12,0.0,4,Dairy Products
1996-07-04,VINET,Reims,42,Singaporean Hokkien Fried Mee,26,9.8,10,0.0,5,Grains/Cereals
1996-07-04,VINET,Reims,72,Mozzarella di Giovanni,14,34.8,5,0.0,4,Dairy Products
1996-07-05,TOMSP,Münster,14,Tofu,35,18.6,9,0.0,7,Produce
1996-07-05,TOMSP,Münster,51,Manjimup Dried Apples,20,42.4,40,0.0,7,Produce
1996-07-08,HANAR,Rio de Janeiro,41,Jack's New England Clam Chowder,85,7.7,10,0.0,8,Seafood
1996-07-08,HANAR,Rio de Janeiro,51,Manjimup Dried Apples,20,42.4,35,0.15,7,Produce
1996-07-08,HANAR,Rio de Janeiro,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,15,0.15,2,Condiments
1996-07-08,VICTE,Lyon,22,Gustaf's Knäckebröd,104,16.8,6,0.05,5,Grains/Cereals
1996-07-08,VICTE,Lyon,57,Ravioli Angelo,36,15.6,15,0.05,5,Grains/Cereals
1996-07-08,VICTE,Lyon,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,20,0.0,2,Condiments
1996-07-09,SUPRD,Charleroi,20,Sir Rodney's Marmalade,40,64.8,40,0.05,3,Confections
1996-07-09,SUPRD,Charleroi,33,Geitost,112,2.0,25,0.05,4,Dairy Products
1996-07-09,SUPRD,Charleroi,60,Camembert Pierrot,19,27.2,40,0.0,4,Dairy Products
1996-07-10,HANAR,Rio de Janeiro,31,Gorgonzola Telino,0,10.0,20,0.0,4,Dairy Products
1996-07-10,HANAR,Rio de Janeiro,39,Chartreuse verte,69,14.4,42,0.0,1,Beverages
1996-07-10,HANAR,Rio de Janeiro,49,Maxilaku,10,16.0,40,0.0,3,Confections
1996-07-11,CHOPS,Bern,24,Guaraná Fantástica,20,3.6,15,0.15,1,Beverages
1996-07-11,CHOPS,Bern,55,Pâté chinois,115,19.2,21,0.15,6,Meat/Poultry
1996-07-11,CHOPS,Bern,74,Longlife Tofu,4,8.0,21,0.0,7,Produce
1996-07-12,RICSU,Genève,2,Chang,17,15.2,20,0.0,1,Beverages
1996-07-12,RICSU,Genève,16,Pavlova,29,13.9,35,0.0,3,Confections
1996-07-12,RICSU,Genève,36,Inlagd Sill,112,15.2,25,0.0,8,Seafood
1996-07-12,RICSU,Genève,59,Raclette Courdavault,79,44.0,30,0.0,4,Dairy Products
1996-07-15,WELLI,Resende,53,Perth Pasties,0,26.2,15,0.0,6,Meat/Poultry
1996-07-15,WELLI,Resende,77,Original Frankfurter grüne Soße,32,10.4,12,0.0,2,Condiments
1996-07-16,HILAA,San Cristóbal,27,Schoggi Schokolade,49,35.1,25,0.0,3,Confections
1996-07-16,HILAA,San Cristóbal,39,Chartreuse verte,69,14.4,6,0.0,1,Beverages
1996-07-16,HILAA,San Cristóbal,77,Original Frankfurter grüne Soße,32,10.4,15,0.0,2,Condiments
1996-07-17,ERNSH,Graz,2,Chang,17,15.2,50,0.2,1,Beverages
1996-07-17,ERNSH,Graz,5,Chef Anton's Gumbo Mix,0,17.0,65,0.2,2,Condiments
1996-07-17,ERNSH,Graz,32,Mascarpone Fabioli,9,25.6,6,0.2,4,Dairy Products
1996-07-18,CENTC,México D.F.,21,Sir Rodney's Scones,3,8.0,10,0.0,3,Confections
1996-07-18,CENTC,México D.F.,37,Gravad lax,11,20.8,1,0.0,8,Seafood
1996-07-19,OTTIK,Köln,41,Jack's New England Clam Chowder,85,7.7,16,0.25,8,Seafood
1996-07-19,OTTIK,Köln,57,Ravioli Angelo,36,15.6,50,0.0,5,Grains/Cereals
1996-07-19,OTTIK,Köln,62,Tarte au sucre,17,39.4,15,0.25,3,Confections
1996-07-19,OTTIK,Köln,70,Outback Lager,15,12.0,21,0.25,1,Beverages
1996-07-19,QUEDE,Rio de Janeiro,21,Sir Rodney's Scones,3,8.0,20,0.0,3,Confections
1996-07-19,QUEDE,Rio de Janeiro,35,Steeleye Stout,20,14.4,20,0.0,1,Beverages
1996-07-22,RATTC,Albuquerque,5,Chef Anton's Gumbo Mix,0,17.0,12,0.2,2,Condiments
1996-07-22,RATTC,Albuquerque,7,Uncle Bob's Organic Dried Pears,15,24.0,15,0.0,7,Produce
1996-07-22,RATTC,Albuquerque,56,Gnocchi di nonna Alice,21,30.4,2,0.0,5,Grains/Cereals
1996-07-23,ERNSH,Graz,16,Pavlova,29,13.9,60,0.25,3,Confections
1996-07-23,ERNSH,Graz,24,Guaraná Fantástica,20,3.6,28,0.0,1,Beverages
1996-07-23,ERNSH,Graz,30,Nord-Ost Matjeshering,10,20.7,60,0.25,8,Seafood
1996-07-23,ERNSH,Graz,74,Longlife Tofu,4,8.0,36,0.25,7,Produce
1996-07-24,FOLKO,Bräcke,2,Chang,17,15.2,35,0.0,1,Beverages
1996-07-24,FOLKO,Bräcke,41,Jack's New England Clam Chowder,85,7.7,25,0.15,8,Seafood
1996-07-25,BLONP,Strasbourg,17,Alice Mutton,0,31.2,30,0.0,6,Meat/Poultry
1996-07-25,BLONP,Strasbourg,70,Outback Lager,15,12.0,20,0.0,1,Beverages
1996-07-26,WARTH,Oulu,12,Queso Manchego La Pastora,86,30.4,12,0.05,4,Dairy Products
1996-07-29,FRANK,München,40,Boston Crab Meat,123,14.7,50,0.0,8,Seafood
1996-07-29,FRANK,München,59,Raclette Courdavault,79,44.0,70,0.15,4,Dairy Products
1996-07-29,FRANK,München,76,Lakkalikööri,57,14.4,15,0.15,1,Beverages
1996-07-30,GROSR,Caracas,29,Thüringer Rostbratwurst,0,99.0,10,0.0,6,Meat/Poultry
1996-07-30,GROSR,Caracas,72,Mozzarella di Giovanni,14,27.8,4,0.0,4,Dairy Products
1996-07-31,WHITC,Seattle,33,Geitost,112,2.0,60,0.05,4,Dairy Products
1996-07-31,WHITC,Seattle,72,Mozzarella di Giovanni,14,27.8,20,0.05,4,Dairy Products
1996-08-01,WARTH,Oulu,36,Inlagd Sill,112,15.2,30,0.0,8,Seafood
1996-08-01,WARTH,Oulu,43,Ipoh Coffee,17,36.8,25,0.0,1,Beverages
1996-08-01,SPLIR,Lander,33,Geitost,112,2.0,24,0.0,4,Dairy Products
1996-08-02,RATTC,Albuquerque,20,Sir Rodney's Marmalade,40,64.8,6,0.0,3,Confections
1996-08-02,RATTC,Albuquerque,31,Gorgonzola Telino,0,10.0,40,0.0,4,Dairy Products
1996-08-02,RATTC,Albuquerque,72,Mozzarella di Giovanni,14,27.8,24,0.0,4,Dairy Products
1996-08-05,QUICK,Cunewalde,10,Ikura,31,24.8,24,0.05,8,Seafood
1996-08-05,QUICK,Cunewalde,31,Gorgonzola Telino,0,10.0,15,0.05,4,Dairy Products
1996-08-05,QUICK,Cunewalde,33,Geitost,112,2.0,20,0.0,4,Dairy Products
