order_date,customer_id,city,product_id,product_name,units_in_stock,unit_price,quantity,discount,category_id,category_name,winsorize_unit_price,total_price,Year,yearquarter,discount_effective
1996-07-04,VINET,Reims,11,Queso Cabrales,22,14.0,12,0.0,4,Dairy Products,14.0,168.0,1996,1996 Q3,0
1996-07-04,VINET,Reims,42,Singaporean Hokkien Fried Mee,26,9.8,10,0.0,5,Grains/Cereals,9.8,98.0,1996,1996 Q3,0
1996-07-04,VINET,Reims,72,Mozzarella di Giovanni,14,34.8,5,0.0,4,Dairy Products,34.8,174.0,1996,1996 Q3,0
1996-07-05,TOMSP,Münster,14,Tofu,35,18.6,9,0.0,7,Produce,18.6,167.4,1996,1996 Q3,0
1996-07-05,TOMSP,Münster,51,Manjimup Dried Apples,20,42.4,40,0.0,7,Produce,42.4,1696.0,1996,1996 Q3,0
1996-07-08,HANAR,Rio de Janeiro,41,Jack's New England Clam Chowder,85,7.7,10,0.0,8,Seafood,7.7,77.0,1996,1996 Q3,0
1996-07-08,HANAR,Rio de Janeiro,51,Manjimup Dried Apples,20,42.4,35,0.15,7,Produce,42.4,1261.3999999999999,1996,1996 Q3,0
1996-07-08,HANAR,Rio de Janeiro,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,15,0.15,2,Condiments,16.8,214.2,1996,1996 Q3,0
1996-07-08,VICTE,Lyon,22,Gustaf's Knäckebröd,104,16.8,6,0.05,5,Grains/Cereals,16.8,95.76,1996,1996 Q3,0
1996-07-08,VICTE,Lyon,57,Ravioli Angelo,36,15.6,15,0.05,5,Grains/Cereals,15.6,222.29999999999998,1996,1996 Q3,0
1996-07-08,VICTE,Lyon,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,20,0.0,2,Condiments,16.8,336.0,1996,1996 Q3,0
1996-07-09,SUPRD,Charleroi,20,Sir Rodney's Marmalade,40,64.8,40,0.05,3,Confections,55.0,2462.4,1996,1996 Q3,0
1996-07-09,SUPRD,Charleroi,33,Geitost,112,2.0,25,0.05,4,Dairy Products,5.9,47.5,1996,1996 Q3,0
1996-07-09,SUPRD,Charleroi,60,Camembert Pierrot,19,27.2,40,0.0,4,Dairy Products,27.2,1088.0,1996,1996 Q3,0
1996-07-10,HANAR,Rio de Janeiro,31,Gorgonzola Telino,0,10.0,20,0.0,4,Dairy Products,10.0,200.0,1996,1996 Q3,0
1996-07-10,HANAR,Rio de Janeiro,39,Chartreuse verte,69,14.4,42,0.0,1,Beverages,14.4,604.8000000000001,1996,1996 Q3,0
1996-07-10,HANAR,Rio de Janeiro,49,Maxilaku,10,16.0,40,0.0,3,Confections,16.0,640.0,1996,1996 Q3,0
1996-07-11,CHOPS,Bern,24,Guaraná Fantástica,20,3.6,15,0.15,1,Beverages,5.9,45.9,1996,1996 Q3,0
1996-07-11,CHOPS,Bern,55,Pâté chinois,115,19.2,21,0.15,6,Meat/Poultry,19.2,342.71999999999997,1996,1996 Q3,0
1996-07-11,CHOPS,Bern,74,Longlife Tofu,4,8.0,21,0.0,7,Produce,8.0,168.0,1996,1996 Q3,0
1996-07-12,RICSU,Genève,2,Chang,17,15.2,20,0.0,1,Beverages,15.2,304.0,1996,1996 Q3,0
1996-07-12,RICSU,Genève,16,Pavlova,29,13.9,35,0.0,3,Confections,13.9,486.5,1996,1996 Q3,0
1996-07-12,RICSU,Genève,36,Inlagd Sill,112,15.2,25,0.0,8,Seafood,15.2,380.0,1996,1996 Q3,0
1996-07-12,RICSU,Genève,59,Raclette Courdavault,79,44.0,30,0.0,4,Dairy Products,44.0,1320.0,1996,1996 Q3,0
1996-07-15,WELLI,Resende,53,Perth Pasties,0,26.2,15,0.0,6,Meat/Poultry,26.2,393.0,1996,1996 Q3,0
1996-07-15,WELLI,Resende,77,Original Frankfurter grüne Soße,32,10.4,12,0.0,2,Condiments,10.4,124.80000000000001,1996,1996 Q3,0
1996-07-16,HILAA,San Cristóbal,27,Schoggi Schokolade,49,35.1,25,0.0,3,Confections,35.1,877.5,1996,1996 Q3,0
1996-07-16,HILAA,San Cristóbal,39,Chartreuse verte,69,14.4,6,0.0,1,Beverages,14.4,86.4,1996,1996 Q3,0
1996-07-16,HILAA,San Cristóbal,77,Original Frankfurter grüne Soße,32,10.4,15,0.0,2,Condiments,10.4,156.0,1996,1996 Q3,0
1996-07-17,ERNSH,Graz,2,Chang,17,15.2,50,0.2,1,Beverages,15.2,608.0,1996,1996 Q3,1
1996-07-17,ERNSH,Graz,5,Chef Anton's Gumbo Mix,0,17.0,65,0.2,2,Condiments,17.0,884.0,1996,1996 Q3,0
1996-07-17,ERNSH,Graz,32,Mascarpone Fabioli,9,25.6,6,0.2,4,Dairy Products,25.6,122.88000000000002,1996,1996 Q3,0
1996-07-18,CENTC,México D.F.,21,Sir Rodney's Scones,3,8.0,10,0.0,3,Confections,8.0,80.0,1996,1996 Q3,0
1996-07-18,CENTC,México D.F.,37,Gravad lax,11,20.8,1,0.0,8,Seafood,20.8,20.8,1996,1996 Q3,0
1996-07-19,OTTIK,Köln,41,Jack's New England Clam Chowder,85,7.7,16,0.25,8,Seafood,7.7,92.4,1996,1996 Q3,1
1996-07-19,OTTIK,Köln,57,Ravioli Angelo,36,15.6,50,0.0,5,Grains/Cereals,15.6,780.0,1996,1996 Q3,0
1996-07-19,OTTIK,Köln,62,Tarte au sucre,17,39.4,15,0.25,3,Confections,39.4,443.25,1996,1996 Q3,0
1996-07-19,OTTIK,Köln,70,Outback Lager,15,12.0,21,0.25,1,Beverages,12.0,189.0,1996,1996 Q3,0
1996-07-19,QUEDE,Rio de Janeiro,21,Sir Rodney's Scones,3,8.0,20,0.0,3,Confections,8.0,160.0,1996,1996 Q3,0
1996-07-19,QUEDE,Rio de Janeiro,35,Steeleye Stout,20,14.4,20,0.0,1,Beverages,14.4,288.0,1996,1996 Q3,0
1996-07-22,RATTC,Albuquerque,5,Chef Anton's Gumbo Mix,0,17.0,12,0.2,2,Condiments,17.0,163.20000000000002,1996,1996 Q3,0
1996-07-22,RATTC,Albuquerque,7,Uncle Bob's Organic Dried Pears,15,24.0,15,0.0,7,Produce,24.0,360.0,1996,1996 Q3,0
1996-07-22,RATTC,Albuquerque,56,Gnocchi di nonna Alice,21,30.4,2,0.0,5,Grains/Cereals,30.4,60.8,1996,1996 Q3,0
1996-07-23,ERNSH,Graz,16,Pavlova,29,13.9,60,0.25,3,Confections,13.9,625.5,1996,1996 Q3,1
1996-07-23,ERNSH,Graz,24,Guaraná Fantástica,20,3.6,28,0.0,1,Beverages,5.9,100.8,1996,1996 Q3,0
1996-07-23,ERNSH,Graz,30,Nord-Ost Matjeshering,10,20.7,60,0.25,8,Seafood,20.7,931.5,1996,1996 Q3,0
1996-07-23,ERNSH,Graz,74,Longlife Tofu,4,8.0,36,0.25,7,Produce,8.0,216.0,1996,1996 Q3,1
1996-07-24,FOLKO,Bräcke,2,Chang,17,15.2,35,0.0,1,Beverages,15.2,532.0,1996,1996 Q3,0
1996-07-24,FOLKO,Bräcke,41,Jack's New England Clam Chowder,85,7.7,25,0.15,8,Seafood,7.7,163.625,1996,1996 Q3,1
1996-07-25,BLONP,Strasbourg,17,Alice Mutton,0,31.2,30,0.0,6,Meat/Poultry,31.2,936.0,1996,1996 Q3,0
1996-07-25,BLONP,Strasbourg,70,Outback Lager,15,12.0,20,0.0,1,Beverages,12.0,240.0,1996,1996 Q3,0
1996-07-26,WARTH,Oulu,12,Queso Manchego La Pastora,86,30.4,12,0.05,4,Dairy Products,30.4,346.55999999999995,1996,1996 Q3,0
1996-07-29,FRANK,München,40,Boston Crab Meat,123,14.7,50,0.0,8,Seafood,14.7,735.0,1996,1996 Q3,0
1996-07-29,FRANK,München,59,Raclette Courdavault,79,44.0,70,0.15,4,Dairy Products,44.0,2618.0,1996,1996 Q3,1
1996-07-29,FRANK,München,76,Lakkalikööri,57,14.4,15,0.15,1,Beverages,14.4,183.6,1996,1996 Q3,0
1996-07-30,GROSR,Caracas,29,Thüringer Rostbratwurst,0,99.0,10,0.0,6,Meat/Poultry,55.0,990.0,1996,1996 Q3,0
1996-07-30,GROSR,Caracas,72,Mozzarella di Giovanni,14,27.8,4,0.0,4,Dairy Products,27.8,111.2,1996,1996 Q3,0
1996-07-31,WHITC,Seattle,33,Geitost,112,2.0,60,0.05,4,Dairy Products,5.9,114.0,1996,1996 Q3,1
1996-07-31,WHITC,Seattle,72,Mozzarella di Giovanni,14,27.8,20,0.05,4,Dairy Products,27.8,528.1999999999999,1996,1996 Q3,1
1996-08-01,WARTH,Oulu,36,Inlagd Sill,112,15.2,30,0.0,8,Seafood,15.2,456.0,1996,1996 Q3,0
1996-08-01,WARTH,Oulu,43,Ipoh Coffee,17,36.8,25,0.0,1,Beverages,36.8,919.9999999999999,1996,1996 Q3,0
1996-08-01,SPLIR,Lander,33,Geitost,112,2.0,24,0.0,4,Dairy Products,5.9,48.0,1996,1996 Q3,0
1996-08-02,RATTC,Albuquerque,20,Sir Rodney's Marmalade,40,64.8,6,0.0,3,Confections,55.0,388.79999999999995,1996,1996 Q3,0
1996-08-02,RATTC,Albuquerque,31,Gorgonzola Telino,0,10.0,40,0.0,4,Dairy Products,10.0,400.0,1996,1996 Q3,0
1996-08-02,RATTC,Albuquerque,72,Mozzarella di Giovanni,14,27.8,24,0.0,4,Dairy Products,27.8,667.2,1996,1996 Q3,0
1996-08-05,QUICK,Cunewalde,10,Ikura,31,24.8,24,0.05,8,Seafood,24.8,565.44,1996,1996 Q3,0
1996-08-05,QUICK,Cunewalde,31,Gorgonzola Telino,0,10.0,15,0.05,4,Dairy Products,10.0,142.5,1996,1996 Q3,0
1996-08-05,QUICK,Cunewalde,33,Geitost,112,2.0,20,0.0,4,Dairy Products,5.9,40.0,1996,1996 Q3,0
1996-08-05,QUICK,Cunewalde,40,Boston Crab Meat,123,14.7,60,0.05,8,Seafood,14.7,837.9,1996,1996 Q3,1
1996-08-05,QUICK,Cunewalde,76,Lakkalikööri,57,14.4,33,0.05,1,Beverages,14.4,451.43999999999994,1996,1996 Q3,1
1996-08-06,VINET,Reims,71,Flotemysost,26,17.2,20,0.0,4,Dairy Products,17.2,344.0,1996,1996 Q3,0
1996-08-06,VINET,Reims,72,Mozzarella di Giovanni,14,27.8,7,0.0,4,Dairy Products,27.8,194.6,1996,1996 Q3,0
1996-08-07,MAGAA,Bergamo,24,Guaraná Fantástica,20,3.6,12,0.05,1,Beverages,5.9,41.04,1996,1996 Q3,0
1996-08-07,MAGAA,Bergamo,59,Raclette Courdavault,79,44.0,6,0.05,4,Dairy Products,44.0,250.79999999999998,1996,1996 Q3,0
1996-08-08,TORTU,México D.F.,10,Ikura,31,24.8,15,0.0,8,Seafood,24.8,372.0,1996,1996 Q3,0
1996-08-08,TORTU,México D.F.,13,Konbu,24,4.8,10,0.0,8,Seafood,5.9,48.0,1996,1996 Q3,0
1996-08-09,MORGK,Leipzig,28,Rössle Sauerkraut,26,36.4,20,0.0,7,Produce,36.4,728.0,1996,1996 Q3,0
1996-08-09,MORGK,Leipzig,62,Tarte au sucre,17,39.4,12,0.0,3,Confections,39.4,472.79999999999995,1996,1996 Q3,0
1996-08-12,BERGS,Luleå,44,Gula Malacca,27,15.5,16,0.0,2,Condiments,15.5,248.0,1996,1996 Q3,0
1996-08-12,BERGS,Luleå,59,Raclette Courdavault,79,44.0,15,0.0,4,Dairy Products,44.0,660.0,1996,1996 Q3,0
1996-08-12,BERGS,Luleå,63,Vegie-spread,24,35.1,8,0.0,2,Condiments,35.1,280.8,1996,1996 Q3,0
1996-08-12,BERGS,Luleå,73,Röd Kaviar,101,12.0,25,0.0,8,Seafood,12.0,300.0,1996,1996 Q3,0
1996-08-13,LEHMS,Frankfurt a.M.,17,Alice Mutton,0,31.2,15,0.25,6,Meat/Poultry,31.2,351.0,1996,1996 Q3,0
1996-08-14,BERGS,Luleå,24,Guaraná Fantástica,20,3.6,12,0.0,1,Beverages,5.9,43.2,1996,1996 Q3,0
1996-08-14,BERGS,Luleå,55,Pâté chinois,115,19.2,20,0.0,6,Meat/Poultry,19.2,384.0,1996,1996 Q3,0
1996-08-14,BERGS,Luleå,75,Rhönbräu Klosterbier,125,6.2,30,0.0,1,Beverages,6.2,186.0,1996,1996 Q3,0
1996-08-14,ROMEY,Madrid,19,Teatime Chocolate Biscuits,25,7.3,1,0.0,3,Confections,7.3,7.3,1996,1996 Q3,0
1996-08-14,ROMEY,Madrid,24,Guaraná Fantástica,20,3.6,6,0.0,1,Beverages,5.9,21.6,1996,1996 Q3,0
1996-08-14,ROMEY,Madrid,35,Steeleye Stout,20,14.4,4,0.0,1,Beverages,14.4,57.6,1996,1996 Q3,0
1996-08-15,ROMEY,Madrid,30,Nord-Ost Matjeshering,10,20.7,6,0.0,8,Seafood,20.7,124.19999999999999,1996,1996 Q3,0
1996-08-15,ROMEY,Madrid,57,Ravioli Angelo,36,15.6,2,0.0,5,Grains/Cereals,15.6,31.2,1996,1996 Q3,0
1996-08-16,LILAS,Barquisimeto,15,Genen Shouyu,39,12.4,20,0.0,2,Condiments,12.4,248.0,1996,1996 Q3,0
1996-08-16,LILAS,Barquisimeto,19,Teatime Chocolate Biscuits,25,7.3,18,0.0,3,Confections,7.3,131.4,1996,1996 Q3,0
1996-08-16,LILAS,Barquisimeto,60,Camembert Pierrot,19,27.2,35,0.0,4,Dairy Products,27.2,952.0,1996,1996 Q3,0
1996-08-16,LILAS,Barquisimeto,72,Mozzarella di Giovanni,14,27.8,3,0.0,4,Dairy Products,27.8,83.4,1996,1996 Q3,0
1996-08-19,LEHMS,Frankfurt a.M.,27,Schoggi Schokolade,49,35.1,15,0.25,3,Confections,35.1,394.875,1996,1996 Q3,0
1996-08-19,LEHMS,Frankfurt a.M.,44,Gula Malacca,27,15.5,21,0.0,2,Condiments,15.5,325.5,1996,1996 Q3,0
1996-08-19,LEHMS,Frankfurt a.M.,60,Camembert Pierrot,19,27.2,20,0.25,4,Dairy Products,27.2,408.0,1996,1996 Q3,0
1996-08-19,LEHMS,Frankfurt a.M.,67,Laughing Lumberjack Lager,52,11.2,5,0.25,1,Beverages,11.2,42.0,1996,1996 Q3,0
1996-08-20,QUICK,Cunewalde,1,Chai,39,14.4,45,0.2,1,Beverages,14.4,518.4,1996,1996 Q3,0
1996-08-20,QUICK,Cunewalde,40,Boston Crab Meat,123,14.7,40,0.2,8,Seafood,14.7,470.40000000000003,1996,1996 Q3,0
1996-08-20,QUICK,Cunewalde,53,Perth Pasties,0,26.2,36,0.2,6,Meat/Poultry,26.2,754.56,1996,1996 Q3,1
1996-08-21,QUICK,Cunewalde,35,Steeleye Stout,20,14.4,100,0.0,1,Beverages,14.4,1440.0,1996,1996 Q3,0
1996-08-21,QUICK,Cunewalde,62,Tarte au sucre,17,39.4,40,0.0,3,Confections,39.4,1576.0,1996,1996 Q3,0
1996-08-22,RICAR,Rio de Janeiro,16,Pavlova,29,13.9,40,0.15,3,Confections,13.9,472.59999999999997,1996,1996 Q3,0
1996-08-22,RICAR,Rio de Janeiro,34,Sasquatch Ale,111,11.2,20,0.0,1,Beverages,11.2,224.0,1996,1996 Q3,0
1996-08-22,RICAR,Rio de Janeiro,46,Spegesild,95,9.6,15,0.15,8,Seafood,9.6,122.39999999999999,1996,1996 Q3,0
1996-08-23,REGGC,Reggio Emilia,54,Tourtière,21,5.9,10,0.1,6,Meat/Poultry,5.9,53.1,1996,1996 Q3,0
1996-08-23,REGGC,Reggio Emilia,68,Scottish Longbreads,6,10.0,3,0.1,3,Confections,10.0,27.0,1996,1996 Q3,0
1996-08-26,BSBEV,London,3,Aniseed Syrup,13,8.0,30,0.0,2,Condiments,8.0,240.0,1996,1996 Q3,0
1996-08-26,BSBEV,London,64,Wimmers gute Semmelknödel,22,26.6,9,0.0,5,Grains/Cereals,26.6,239.4,1996,1996 Q3,0
1996-08-27,COMMI,Sao Paulo,5,Chef Anton's Gumbo Mix,0,17.0,20,0.0,2,Condiments,17.0,340.0,1996,1996 Q3,0
1996-08-27,COMMI,Sao Paulo,29,Thüringer Rostbratwurst,0,99.0,15,0.0,6,Meat/Poultry,55.0,1485.0,1996,1996 Q3,0
1996-08-27,COMMI,Sao Paulo,49,Maxilaku,10,16.0,15,0.0,3,Confections,16.0,240.0,1996,1996 Q3,0
1996-08-27,COMMI,Sao Paulo,77,Original Frankfurter grüne Soße,32,10.4,10,0.0,2,Condiments,10.4,104.0,1996,1996 Q3,0
